initialPrice,sector,daysBeatSP,spvalue,priceChange100Days
10.0,Health Care,116,1553.28,-0.0009999999999999788
19.0,Consumer Services,123,2130.82,-0.06210526315789472
67.2,Health Care,102,2099.5,-0.375
9.5,Consumer Services,127,1782.0,-0.23684210526315788
19.63,Health Care,122,2124.29,0.16148751910341325
18.06,Consumer Services,113,1690.5,0.00498338870431893
12.27,Health Care,131,2031.21,1.1980440097799512
24.14,Consumer Services,125,1992.67,0.1437448218724109
24.82,Consumer Services,136,1995.69,0.009266720386784867
25.26,Consumer Services,126,1877.03,0.09342834520981787
24.4,Consumer Services,131,1701.84,0.18647540983606561
12.0,Technology,130,2175.03,0.27999999999999997
12.02,Technology,122,2175.03,0.25207986688851924
14.33,Consumer Services,135,1338.31,0.6573621772505234
9.8,Finance,21,2549.33,-0.012244897959183773
11.5,Consumer Services,91,2474.92,2.720869565217391
17.76,Basic Industries,132,1687.99,0.2105855855855855
12.25,Consumer Services,125,1842.98,0.04653061224489798
9.65,Technology,34,2077.07,0.010362694300518097
28.5,Finance,38,1838.88,0.05263157894736842
16.16,Health Care,140,2001.57,0.17636138613861393
38.5,Energy,123,2270.44,-0.11246753246753242
5.0,Health Care,49,2262.53,1.6
9.75,Finance,32,1964.58,0.009230769230769216
17.73,Technology,133,2384.2,0.036661026508742166
27.855,Health Care,4,2084.07,-0.13785675821217017
4.0,Capital Goods,123,1390.69,0.8174999999999999
38.15,Health Care,119,2061.05,-0.13027522935779814
13.5,Consumer Services,107,2316.1,-0.08592592592592593
7.14,Health Care,129,2105.26,1.73109243697479
9.26,Basic Industries,98,2473.45,1.1436285097192227
13.95,Technology,133,1875.63,0.4845878136200718
15.11,Health Care,118,1593.37,0.05890138980807416
9.63,Finance,31,2591.13,0.01246105919003107
10.0,Finance,39,2560.4,0.016000000000000014
16.05,Health Care,95,2477.57,0.1327102803738317
9.7,Finance,33,2438.21,0.005154639175257806
10.0,Finance,80,2437.03,0.009999999999999964
9.08,Health Care,103,1690.25,-0.33590308370044053
14.0,Health Care,120,1829.83,-0.2878571428571428
15.05,Miscellaneous,117,2271.72,0.09036544850498335
9.75,Finance,113,2083.39,-0.04923076923076927
12.45,Capital Goods,117,1681.55,-0.10281124497991963
17.45,Consumer Services,54,2582.14,0.06991404011461332
26.8,Public Utilities,106,1965.99,-0.18432835820895527
18.84,Consumer Services,111,2096.07,-0.05201698513800427
11.92,Health Care,121,2088.0,0.8196308724832216
14.72,Technology,124,1759.77,0.4735054347826087
20.66,Consumer Services,108,1485.98,0.03049370764762822
7.67,Health Care,115,1888.77,-0.22685788787483704
17.0,Miscellaneous,147,2090.1,0.9829411764705883
16.9,Consumer Non-Durables,119,1636.36,-0.08994082840236674
31.75,Technology,131,2160.77,-0.14582677165354327
9.82,Capital Goods,117,1349.96,0.01629327902240327
72.0,Energy,119,2039.33,0.13611111111111107
21.21,Consumer Services,97,1790.29,-0.3955681282413956
14.01,Health Care,132,2144.29,0.6009992862241257
35.25,Technology,133,1763.31,0.393758865248227
14.25,Health Care,119,2036.71,-0.008421052631578892
37.1,Technology,123,1841.13,-0.6703504043126685
9.25,Consumer Services,71,2425.55,-0.003243243243243174
10.7,Capital Goods,127,1392.78,0.033644859813084224
13.26,Basic Industries,138,1650.51,0.38914027149321284
15.5,Finance,129,2177.18,0.22580645161290322
30.0,Basic Industries,132,1920.03,-0.018333333333333358
19.3,Health Care,135,1930.67,0.4865284974093264
12.76,Health Care,128,2013.43,0.046238244514106575
17.49,Consumer Services,118,1920.03,-0.17724413950829035
18.14,Capital Goods,117,1709.67,-0.06339581036383694
15.0,Health Care,14,1946.17,0.5125
